,ADVANC.BK,AOT.BK,AWC.BK,BANPU.BK,BBL.BK,BCP.BK,BDMS.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CCET.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,CRC.BK,DELTA.BK,EGCO.BK,GPSC.BK,HMPRO.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,OR.BK,OSP.BK,PTT.BK,PTTEP.BK,PTTGC.BK,RATCH.BK,SCC.BK,SCGP.BK,TCAP.BK,TISCO.BK,TOP.BK,TRUE.BK,TTB.BK,TU.BK,VGI.BK,WHA.BK
ADVANC.BK,1.0,-0.01771657773317424,-0.0325952309743719,-0.08642226778207104,0.10574710405048386,0.0387225689823296,-0.0030987026804764504,-0.010438761720682484,0.0324631923421128,-0.005186316944420448,0.02965385349292047,0.07367956419595806,0.03769552937210231,0.05835410003178245,0.026582448482688367,0.0007306162923905691,0.030814497076299508,0.0052853497339140606,0.05803408377159098,-0.016183571412111658,0.06973209676107964,0.21555674234049987,0.0073350517297440555,0.0694011611052715,0.1016016292529005,0.1103650966193205,0.033048363475640635,-0.015767310507500874,0.05447932986135263,0.08129741697505434,0.00798974254606841,0.03744663605101321,0.03931698426674049,-0.03031140531208544,-0.016276592465620507,0.07274787012081127,0.05262415235784425,0.03983961633356032,0.013623605134880853,-0.038869006979976174,-0.01183599393219883,0.08214939914975097,-0.0030112613670109927,-0.03631846963232585,0.03107940573585547,0.04193159609405969
AOT.BK,-0.01771657773317424,1.0,0.17446260130934466,0.030766032292263993,0.13431890326234008,0.06497827011900391,0.09834332532639793,0.360652628341927,0.15172915710635132,0.18058309299521294,0.07177591508000414,0.08763466345763958,0.0025280792778606086,0.04699060842712221,0.12017627533932058,-0.032268221808727245,0.1976139146838663,0.24548195683196186,-0.00031794847355864133,0.11344665462895653,0.027645274072479697,0.10370708060043787,0.07665420445675541,0.05656823443460723,-0.012503385307814908,-0.0276574836812615,-0.006735136038387524,0.0449028799700392,0.0028727727903752583,-0.018723960113989264,0.011330523105310982,0.048961962042587064,0.060121729540795685,0.1266458149812605,0.07704963041649367,-0.00422573456526984,0.09881441136014818,0.008118095002795709,-0.014208812187196081,0.04841863806430327,-0.002918295389708409,0.07612133341194209,0.002289669804250571,0.12091608400288638,-0.03342913285215992,0.07178165378415566
AWC.BK,-0.0325952309743719,0.17446260130934466,1.0,0.10588350488325313,0.1298584490729232,0.06848203071453243,0.033939760012847896,0.14349895331647478,0.05181991516080122,0.137362768078995,0.07441733088000768,0.13032941254049857,0.03203318713896767,0.08524528073361795,0.10751263094522201,0.039478104248118755,0.18626470414466384,0.3199248865999601,0.09413994827660495,0.14864097282663555,0.17092283310559425,0.11744636637057328,0.18592511510648277,-0.0326500676918198,0.09693537086036548,0.06589501285719886,0.13147005116526436,0.22684360185914368,0.16670986006744065,0.20042928579232208,0.006543468990574718,0.19774069122520413,0.11498936819203093,0.04826092161455806,0.21800937016619598,0.008988158668435189,0.0810690562673149,0.1607005059345313,0.09536051027033461,0.10296967528952912,0.08130447929576431,0.03738141822601059,-0.03035393305714819,0.12852100520609772,0.08989865037762303,0.15843826289364382
BANPU.BK,-0.08642226778207104,0.030766032292263993,0.10588350488325313,1.0,0.12562947482189596,0.08785335649693626,-0.01657106710272645,0.0944577511836706,0.025007598325154534,0.02300543126673509,0.019135456201859715,0.06050082395229275,0.0484604000183398,0.16068331955708476,0.09779913554142439,0.11241643069046922,0.08346037449046526,-0.004199384892337158,0.03663709173965329,0.1238048613116367,0.02667922902588064,0.003493017476006863,0.1608096511412764,0.07274513451288656,0.05738077618955785,0.10259270888251953,0.0718021409318144,0.18859878374187522,0.0491598466607576,0.047684938845897314,0.10394258997228659,0.12036951220915679,0.13164225931789414,0.039978118451725005,0.13536071317389958,0.11710027555876844,0.08549666515265146,0.08202129832752632,-0.01856376537424305,0.03885270670798687,0.17398067771484238,0.11158468046849866,-0.028162859419316837,0.033997070238685485,0.03430263280149325,0.005035201498293915
BBL.BK,0.10574710405048386,0.13431890326234008,0.1298584490729232,0.12562947482189596,1.0,0.11859794873697221,0.0707636355158707,0.1813128589541575,0.127304437409102,0.09992962949888291,0.02444083072092218,0.05110386413806049,0.11228126757926772,0.2085466566996022,0.15170851679815675,-0.011423743959007955,0.14482925324616575,0.14194491297306802,0.04901604038618361,0.02800318826712431,0.07629632611670073,0.15661137118662405,0.11423640885088344,0.22331013120192902,0.11197284871093688,0.166780839551421,-0.026382515496279197,0.17618207115835935,0.07056219392417919,0.1508650725547774,0.017274916224751923,0.11818938256346052,0.05995960295693821,0.05279541024831635,0.15596663834466476,0.0006707552128448754,0.02751979712980075,0.062409681271163524,0.06994065049990483,0.1927376355856303,0.11037887478886478,0.1367908536103066,-0.0947803644904696,0.08546657541094681,0.05801185944500542,0.06898094989933486
BCP.BK,0.0387225689823296,0.06497827011900391,0.06848203071453243,0.08785335649693626,0.11859794873697221,1.0,0.08213307264350829,0.04927114672042362,0.1449953570720965,0.07327542626847938,0.021095068983129853,0.011574036612519805,-0.044033250802700714,0.03135931831456361,0.01821318255356316,0.13773065172653876,0.12562314790835188,0.15577470484691536,-0.0035308053599549267,0.01132290268996047,0.0929634680663659,0.10278984457490484,0.07193457743817451,0.04968555979551468,0.13382007863520828,0.0527389495461995,0.0701750864701154,0.1609402141139222,0.08675959040528937,0.05456562769673142,0.022949623574502385,0.1182129327742004,0.14710228023849187,0.1236298977573562,0.15617518468010202,0.021488412715201997,0.10731443098350894,0.16645793775974352,0.036771118989348865,0.07249552398774757,0.11620241734359357,0.06879115738817031,-0.0016895603988450747,0.06044845135151692,0.03952579451887629,0.10616246927725353
BDMS.BK,-0.0030987026804764504,0.09834332532639793,0.033939760012847896,-0.01657106710272645,0.0707636355158707,0.08213307264350829,1.0,0.22543391406323768,0.17945177201018503,0.23321536412634813,0.08775812340973935,0.02383881662899008,-0.00993392821176295,0.07737742305811829,0.22033999329207393,0.10569655555333456,0.14994457183118706,0.1087848019335376,-0.002760425105999026,0.06981410548698114,0.14226402235115274,0.1412951060312626,0.027274927259967784,0.07002433678962244,0.035999852910154985,0.024543569226108078,0.055372711206268715,0.0600246435143508,0.08950400249292849,0.10821970185981102,-0.002062502516692363,0.07615500270837709,0.0721130857214791,0.008178466808961924,0.09821316804466462,0.025480748851708587,0.13373341373358322,0.12191796260454923,0.04097215904564268,0.05993395404219726,0.023625985691408762,0.016809394235335815,-0.0004167900890160798,0.08753398943673703,0.03929902293377644,0.07534681522721558
BEM.BK,-0.010438761720682484,0.360652628341927,0.14349895331647478,0.0944577511836706,0.1813128589541575,0.04927114672042362,0.22543391406323768,1.0,0.14518065870038868,0.18852784024729272,-0.004884812568787334,0.10484348781346578,-0.005398138292702022,0.11118760030089779,0.2037061201463102,-0.018757038692555173,0.25802308971200405,0.16499953700074801,0.06122960299129606,0.19492825792403562,0.07969970345231213,0.07441802462973042,0.10880944025796875,0.062062679168960605,0.03687433767395501,0.03562342697071625,0.11399092238964068,0.08517626533105037,0.06406402061243881,0.10302219227484681,0.009244464524506913,0.1160552360420194,0.028483153154839038,0.046391274818393904,0.1262717187430185,0.016167695730482434,0.08495999626206086,0.11811477377291527,0.01699382918448203,0.020080147514586137,0.04531071314016147,0.08455443047774668,0.001868119510590602,0.15919440432594628,0.02745411514140397,0.09073132134743615
BH.BK,0.0324631923421128,0.15172915710635132,0.05181991516080122,0.025007598325154534,0.127304437409102,0.1449953570720965,0.17945177201018503,0.14518065870038868,1.0,0.05157905678671717,-0.005341080030452487,0.0808691010652756,0.03785432868538752,0.09962753908398048,0.1991204164807753,0.006219212181463285,0.19213238411002817,0.11651924331982787,0.012676238494878466,0.06652397679762988,0.09080984486689837,0.05591623275360992,0.0443222808320839,0.006490342710111028,0.06795275070099831,0.0391780242903831,0.009285160163026822,0.09511096886590319,0.03870053163834712,0.049377644976973126,-0.07309661383414147,0.08885128242601659,0.08552615831726788,0.042274079077267136,0.005203152022825246,0.0519235381832915,0.03783347272319991,0.02265834540022885,-0.007865330887551461,-0.001670920254078793,0.03334664238229679,0.0775104196390688,-0.0025018299033928502,0.09234660828877636,0.012264866113608988,0.08972879242284122
BJC.BK,-0.005186316944420448,0.18058309299521294,0.137362768078995,0.02300543126673509,0.09992962949888291,0.07327542626847938,0.23321536412634813,0.18852784024729272,0.05157905678671717,1.0,0.10199551965720989,0.13670683865154978,0.07760676464541431,0.07574645781566754,0.10171496544295579,0.04201474648112657,0.15592647338527216,0.13019820263188608,0.016661667290792066,0.09313666326166133,0.11902996870216279,0.13579742158747268,0.017050302547730527,0.003685898803978662,-0.03797575904105375,-0.015132889053789664,0.013469310687041675,0.11209806439497332,0.17913911453718973,0.08669783889487569,-0.003442594562792558,0.11185535321180563,0.08083961860026,0.11978252507993176,0.10738872529688585,0.026944825478013572,0.0777582262701004,0.13371323979796995,0.04175390165288055,0.010646331047542637,0.009785618628874,0.1240121079005469,-0.0006956788089517722,0.08113075448252922,0.015697326359178084,0.052465182469545034
BTS.BK,0.02965385349292047,0.07177591508000414,0.07441733088000768,0.019135456201859715,0.02444083072092218,0.021095068983129853,0.08775812340973935,-0.004884812568787334,-0.005341080030452487,0.10199551965720989,1.0,-0.01395363686981617,-0.00841448869819636,-0.009480661479555303,-0.02891295867337016,0.039062754747510406,0.03853283694008571,0.05927075614456677,0.08312335703156835,0.000932051983996798,0.01571193795472872,0.07242543198536376,0.06495998420306323,0.0462402849981471,0.05649137766240695,-0.0023534513177255172,0.0865690952047491,0.042580312956835155,0.04081066792885004,0.06275851914112393,-0.004235995430872965,-0.009853880822925688,-0.06964031176793231,0.03360670057733545,-0.015658191048119212,0.021000700745539853,-0.07270848403445761,0.003988022173390082,0.04175432765453999,0.02639120319623194,-0.03991555178688929,0.08481699034634264,-0.000855901264914912,0.012901124321390555,0.06160286505605944,0.007330090596523772
CBG.BK,0.07367956419595806,0.08763466345763958,0.13032941254049857,0.06050082395229275,0.05110386413806049,0.011574036612519805,0.02383881662899008,0.10484348781346578,0.0808691010652756,0.13670683865154978,-0.01395363686981617,1.0,0.06680310087912568,0.13230382128793408,0.01671833766983777,0.05211816894416167,0.045960244943480506,0.13734304651585208,0.006802696766832128,0.11190060421885621,0.1053093784504693,0.05836885126881677,0.1335741496418418,0.10507195597596372,0.04852640636855081,-0.031114108334751346,0.06716129961441442,0.18322760209912348,0.14079258264128794,0.13313867123597398,0.08707672525057959,0.1593443906166183,0.07220919836120929,0.020971695812839787,0.13770536161334526,0.05959667832537141,0.15723009762723456,0.17109327505101954,-0.03127560038742469,0.0615726359232099,0.10246362391273472,0.06401482436775296,-0.0018277077350918815,0.05317630113391571,0.08130868545329287,0.07467986868830882
CCET.BK,0.03769552937210231,0.0025280792778606086,0.03203318713896767,0.0484604000183398,0.11228126757926772,-0.044033250802700714,-0.00993392821176295,-0.005398138292702022,0.03785432868538752,0.07760676464541431,-0.00841448869819636,0.06680310087912568,1.0,0.09312283995658752,0.016437120144195457,-0.0016630845858019647,-0.03607249586857625,0.011332704472074894,0.07270621412765878,0.18262573452442643,0.129875232387848,0.01765314236295216,-0.060787976076888,0.012025830915511999,0.03616479894032037,0.01599494386699814,0.018069505627468,0.05639635130705277,-0.025242105474572146,0.052601255555132766,0.054213758601249,0.04889970413041136,0.08990770275757584,0.0292210547419147,0.07567406156454677,0.017407421256733686,-0.04152157205574206,-0.021268835190114063,-0.010823114107194238,0.023289977705159094,0.11015374229796943,0.029336618947273418,-0.000448145154056172,0.10959719190319409,0.02081306793283448,0.044325772890861426
COM7.BK,0.05835410003178245,0.04699060842712221,0.08524528073361795,0.16068331955708476,0.2085466566996022,0.03135931831456361,0.07737742305811829,0.11118760030089779,0.09962753908398048,0.07574645781566754,-0.009480661479555303,0.13230382128793408,0.09312283995658752,1.0,0.06608412410623143,0.11245008782899836,0.1025681476977438,0.09295923570632975,0.19276387049533958,0.12807726152920584,0.06578536435562311,0.15367491470797542,0.10356858908031293,0.173322251482467,0.06903347705761743,0.08418281931269654,0.01204664102088594,0.1574109483132781,0.035698626843119544,0.2291093046076903,0.051416464802072216,0.17393099977436352,0.11591208710567506,0.060571339527301676,0.0514486351540326,-0.0021924990840479245,0.16886713137868956,0.05071955082380063,0.029081862319022888,0.11380942573888377,0.13153578733862534,0.06740443358489097,0.0012333623968212015,0.11863688078183474,0.10754875678280132,0.1467857455452876
CPALL.BK,0.026582448482688367,0.12017627533932058,0.10751263094522201,0.09779913554142439,0.15170851679815675,0.01821318255356316,0.22033999329207393,0.2037061201463102,0.1991204164807753,0.10171496544295579,-0.02891295867337016,0.01671833766983777,0.016437120144195457,0.06608412410623143,1.0,0.046545832076999284,0.17049726190934697,0.23227873977517835,0.008856670253156203,0.16403770110923124,0.07359976741222878,0.16659866229636797,0.008431257066685776,0.1067907372416024,0.07072746784546596,0.06135461958906148,0.13377361268121568,0.05730099637673317,0.044289665058155334,0.13271298935598083,1.6282540985256786e-05,0.07584183611696696,0.06913589544719428,6.5064222438732905e-06,0.024062920573184963,0.042993921779830316,-0.004757584031721249,0.03698397198157253,0.03681976693620101,0.06383934870577675,0.027979525661590565,0.024738439880651712,6.293416831227966e-05,0.12513115856035056,0.020770866343866885,0.060800958937407244
CPF.BK,0.0007306162923905691,-0.032268221808727245,0.039478104248118755,0.11241643069046922,-0.011423743959007955,0.13773065172653876,0.10569655555333456,-0.018757038692555173,0.006219212181463285,0.04201474648112657,0.039062754747510406,0.05211816894416167,-0.0016630845858019647,0.11245008782899836,0.046545832076999284,1.0,0.03840982170121269,0.03850202523834461,0.0293569398929804,0.08402757575871958,0.13304234290095648,0.05974822383646581,0.11179870518366684,-0.00276042751063384,0.040543938228240484,0.03997475453136852,0.08291061929306745,0.14178347751021386,0.04973684225593744,0.10150622844554087,-0.0072810577713493755,0.11651140893882798,0.11365904178820983,0.01756231223894425,0.014832217990376227,0.059300856937676054,0.05829900371644396,0.09241851197246216,0.016954678956229905,0.028283766694415676,0.11033682363488635,0.042893803425605184,-0.001471354673311444,0.10515797500305697,0.0043393577062491836,0.0034239535408151136
CPN.BK,0.030814497076299508,0.1976139146838663,0.18626470414466384,0.08346037449046526,0.14482925324616575,0.12562314790835188,0.14994457183118706,0.25802308971200405,0.19213238411002817,0.15592647338527216,0.03853283694008571,0.045960244943480506,-0.03607249586857625,0.1025681476977438,0.17049726190934697,0.03840982170121269,1.0,0.26970039946651314,0.02752156587032684,0.23270504774478698,0.18662871697092195,0.22013921823067326,0.1333648052858364,0.07643227029187863,0.025608105341068266,0.02334689087828955,0.024522997371840043,0.19359416007537228,0.13075659326580474,0.18494829625730236,0.02695143867681246,0.07707799217747148,0.15836281116855566,0.03132980124260671,0.26805409620872644,0.012393913882985712,0.2614286580306881,0.17016717269208534,0.17513388264328747,0.12829084701946986,0.05747216674195566,0.07733835798373216,0.0007063774980221624,0.09433912272176691,0.06294767899083187,0.12960899052290503
CRC.BK,0.0052853497339140606,0.24548195683196186,0.3199248865999601,-0.004199384892337158,0.14194491297306802,0.15577470484691536,0.1087848019335376,0.16499953700074801,0.11651924331982787,0.13019820263188608,0.05927075614456677,0.13734304651585208,0.011332704472074894,0.09295923570632975,0.23227873977517835,0.03850202523834461,0.26970039946651314,1.0,0.02505140818569466,0.15450008350116215,0.16028960208150533,0.19583479593261907,0.06392465197526728,0.030591279523731318,0.14495940758081513,0.05358239139457495,0.04992607938363696,0.1812094150822514,0.18880079264843883,0.10527394562464037,0.0005012963808189434,0.11343320795380575,0.05781355305902686,0.05878039391149201,0.09005903093545124,0.04379804472282604,0.12277298516755834,0.07197195786353731,0.0672079798901461,0.15275789424792466,0.008185963340621995,0.028592205115373852,0.00010130187066148868,0.17014302979031862,0.11817892190590226,0.06046274839668784
DELTA.BK,0.05803408377159098,-0.00031794847355864133,0.09413994827660495,0.03663709173965329,0.04901604038618361,-0.0035308053599549267,-0.002760425105999026,0.06122960299129606,0.012676238494878466,0.016661667290792066,0.08312335703156835,0.006802696766832128,0.07270621412765878,0.19276387049533958,0.008856670253156203,0.0293569398929804,0.02752156587032684,0.02505140818569466,1.0,0.06245533438362584,0.028133465031934854,0.04182123543472427,0.08695810019139662,0.053319351435276024,0.04474007394184326,0.020678431844110612,0.015964750777751467,0.0397695219147428,-0.04422973567509144,0.09007802800827382,0.04810242672295939,0.07272727680572826,-0.03877927791704803,-0.005318325766393511,0.00110741036737561,0.022856711309779374,-0.0008282360437512668,0.05512351646579208,0.01225621427345275,0.009886155860192564,-0.05138680995563871,-0.013972050013132314,-0.002695858157411753,0.08803591687158731,0.06074763617425534,0.035583783103886886
EGCO.BK,-0.016183571412111658,0.11344665462895653,0.14864097282663555,0.1238048613116367,0.02800318826712431,0.01132290268996047,0.06981410548698114,0.19492825792403562,0.06652397679762988,0.09313666326166133,0.000932051983996798,0.11190060421885621,0.18262573452442643,0.12807726152920584,0.16403770110923124,0.08402757575871958,0.23270504774478698,0.15450008350116215,0.06245533438362584,1.0,0.24343064755177038,0.10061644011458667,0.13863400913036858,-0.034622739761251894,0.1070583466149912,0.04352532677145908,0.17988371844928136,0.199025030163564,0.07756878854867277,0.18722327185199103,0.03169314982263988,0.1838358357868222,0.17344198210827141,0.02482109070223484,0.16564304541057576,0.04850733514563413,0.19759676455201414,0.09611561128484437,0.07552203426335123,0.06626590100624005,0.11989472537077499,0.05079117507689028,0.06193505682930333,0.09166121057404748,0.027278909549629023,0.08943941314740256
GPSC.BK,0.06973209676107964,0.027645274072479697,0.17092283310559425,0.02667922902588064,0.07629632611670073,0.0929634680663659,0.14226402235115274,0.07969970345231213,0.09080984486689837,0.11902996870216279,0.01571193795472872,0.1053093784504693,0.129875232387848,0.06578536435562311,0.07359976741222878,0.13304234290095648,0.18662871697092195,0.16028960208150533,0.028133465031934854,0.24343064755177038,1.0,0.18791620134059397,0.09875787232137653,0.03249985150853988,0.06222724019255382,-0.004538348858596835,0.0691877442041187,0.21346338554568536,0.14961421488138066,0.2450935916701329,0.005684198421372305,0.15220311542926707,0.22706288970377317,-0.0588487912488973,0.16497108424134554,0.05734637183779977,0.17334849733042335,0.17717591037893302,0.1335090917989646,0.1112869571750218,0.09371304468295798,0.09684538237452497,0.0010937446999244112,0.12419809819957851,0.1002467807819026,0.09685834314550809
HMPRO.BK,0.21555674234049987,0.10370708060043787,0.11744636637057328,0.003493017476006863,0.15661137118662405,0.10278984457490484,0.1412951060312626,0.07441802462973042,0.05591623275360992,0.13579742158747268,0.07242543198536376,0.05836885126881677,0.01765314236295216,0.15367491470797542,0.16659866229636797,0.05974822383646581,0.22013921823067326,0.19583479593261907,0.04182123543472427,0.10061644011458667,0.18791620134059397,1.0,0.008384757915349825,0.07592765752132304,0.027061740459414202,0.06857303878260194,0.02614525918841717,0.22213009893614746,0.10881725143282361,0.20829872974289146,0.026475198206624088,0.09066963280852706,0.17287266372259372,0.04801364507275126,0.09556074185116943,-0.0033590102192080544,0.16121711729240304,0.09658545336740246,0.029030856086268195,0.13674103619106448,0.06261497205247157,0.13431553214126257,0.0583825039294668,0.06506632663753452,0.02187779705165406,0.07459458968243465
